player_id,evo_rate_raw,ppo_rate_raw,evd_rate_raw,ppd_rate_raw,penalty_component_raw,toi_5v5_minutes,toi_pp_minutes,toi_pk_minutes,toi_total_minutes
8470613,0.3561027449177531,0.03173218288340209,0.0,0.0,0.0,497.6666666666667,60.733333333333334,109.08333333333333,667.4833333333333
8470621,0.6341045317022008,0.0,0.0,0.0,0.0,382.98333333333335,46.016666666666666,78.05,507.05
8471214,0.8893534151519011,0.0,0.0,0.0,0.0,539.7666666666667,58.11666666666667,103.71666666666667,701.6
8471215,0.9483169058966617,0.0,0.0,0.0,0.0,318.95,28.483333333333334,58.0,405.43333333333334
8471675,0.9494556359444913,0.0,0.0,0.0,0.0,423.5833333333333,43.46666666666667,91.41666666666667,558.4666666666667
8471685,0.6958180103247801,0.0,0.0,0.0,0.0,342.73333333333335,37.95,65.61666666666667,446.3
8471724,0.32936660010578706,0.35327856973703664,0.0,0.0,0.0,544.15,40.36666666666667,78.28333333333333,662.8
8471734,0.0,0.0,0.0,0.0,0.0,178.03333333333333,21.683333333333334,36.11666666666667,235.83333333333334
8471817,0.3821817778802724,0.0,0.0,0.0,0.0,365.18333333333334,43.516666666666666,84.21666666666667,492.9166666666667
8473419,1.4476502598523695,0.5018835661555744,0.0,0.0,0.0,363.23333333333335,54.21666666666667,96.56666666666666,514.0166666666667
8473422,0.35363726246104854,0.0,0.0,0.0,0.0,217.11666666666667,21.683333333333334,36.03333333333333,274.8333333333333
8473507,0.1008946205475313,0.0,0.0,0.0,0.0,448.25,51.53333333333333,82.55,582.3333333333334
8473512,0.5727840656731531,0.4565756011767205,0.0,0.0,0.0,371.68333333333334,29.383333333333333,54.46666666666667,455.5333333333333
8473533,0.7606600244129564,0.0,0.0,0.0,0.0,405.3,42.2,69.26666666666667,516.7666666666667
8473604,1.0019270038482315,0.0,0.0,0.0,0.0,303.98333333333335,35.96666666666667,63.06666666666666,403.01666666666665
8473986,0.7760768587216752,0.9164797487200893,0.0,0.0,0.0,407.7166666666667,38.833333333333336,81.73333333333333,528.2833333333333
8473994,1.2179899795960132,0.0,0.0,0.0,0.0,166.15,13.616666666666667,31.85,211.61666666666667
8474013,0.18261255550905808,0.0,0.0,0.0,0.0,481.95,57.550000000000004,91.11666666666667,630.6166666666667
8474037,1.1095255070440468,0.0,0.0,0.0,0.0,295.1166666666667,16.85,33.733333333333334,345.7
8474090,0.08925220005723655,0.0,0.0,0.0,0.0,140.4,18.866666666666667,25.516666666666666,184.78333333333333
8474102,0.5840701839607458,0.0,0.0,0.0,0.0,375.28333333333336,40.18333333333333,59.916666666666664,475.3833333333333
8474141,0.7014798685404173,0.0,0.0,0.0,0.0,381.55,38.266666666666666,63.85,483.6666666666667
8474149,0.39883964796401616,0.0,0.0,0.0,0.0,65.23333333333333,6.633333333333334,10.1,81.96666666666667
8474150,0.5882975255413554,0.44078086002589406,0.0,0.0,0.0,465.75,50.016666666666666,83.38333333333334,599.15
8474151,0.26242199968585694,0.0,0.0,0.0,0.0,166.88333333333333,16.71666666666667,31.5,215.1
8474189,0.39061223195037353,0.543983141726506,0.0,0.0,0.0,312.1666666666667,27.35,41.05,380.56666666666666
8474563,0.2070857163328847,0.0,0.0,0.0,0.0,287.43333333333334,35.56666666666667,58.95,381.95
8474564,1.1199852617946322,0.0,0.0,0.0,0.0,412.51666666666665,60.85,111.36666666666667,584.7333333333333
8474567,0.193968185387233,0.0,0.0,0.0,0.0,188.15,17.6,30.666666666666668,236.41666666666666
8474568,0.14001854810464773,0.12654554417018787,0.0,0.0,0.0,313.5833333333333,42.15,60.050000000000004,415.7833333333333
8474574,0.25654451446308474,0.14467013217796934,0.0,0.0,0.0,435.4166666666667,43.68333333333333,82.48333333333333,561.5833333333334
8474578,0.37963020684397136,0.01713153613909936,0.0,0.0,0.0,441.4,43.66666666666667,79.98333333333333,565.05
8474586,0.8618238126379983,0.0,0.0,0.0,0.0,444.8333333333333,40.483333333333334,86.58333333333333,571.9
8474590,0.5418613859296654,0.2713653517156334,0.0,0.0,0.0,446.25,36.96666666666667,66.58333333333333,549.8
8474593,0.0,0.0,0.0,0.0,0.0,293.1,36.8,71.58333333333333,401.48333333333335
8474596,0.0,0.0,0.0,0.0,0.0,395.4,43.266666666666666,79.81666666666666,518.4833333333333
8474600,0.4551624689865292,0.0,0.0,0.0,0.0,285.8,44.65,69.88333333333334,400.3333333333333
8474612,0.11695607552040815,1.074547481697959,0.0,0.0,0.0,217.03333333333333,17.266666666666666,40.03333333333333,274.3333333333333
8474641,0.7442229405826191,0.45956365011931044,0.0,0.0,0.0,380.8833333333333,35.25,54.300000000000004,470.43333333333334
8474679,0.7305222821784821,0.41184409137268163,0.0,0.0,0.0,202.78333333333333,19.066666666666666,42.583333333333336,264.43333333333334
8474716,0.28490080966868697,0.0,0.0,0.0,0.0,498.78333333333336,50.61666666666667,76.16666666666667,625.5666666666667
8475149,0.8932818893945582,0.030157574644979472,0.0,0.0,0.0,345.8833333333333,34.85,47.6,428.3333333333333
8475151,0.6343083800283876,0.3994909653142511,0.0,0.0,0.0,316.4166666666667,31.7,69.23333333333333,417.35
8475158,1.196343738960811,0.3614990791593973,0.0,0.0,0.0,312.1,33.833333333333336,70.63333333333334,416.56666666666666
8475166,1.4769716693041528,0.0,0.0,0.0,0.0,373.8666666666667,49.35,83.16666666666667,506.3833333333333
8475167,0.29733839711719534,0.0,0.0,0.0,0.0,196.8,20.28333333333333,50.45,267.53333333333336
8475168,0.6405208779527322,0.0,0.0,0.0,0.0,85.3,15.399999999999999,24.55,125.25
