goalie_id,adj_rebound_pct,regressed_adjrp_c5000,regressed_adjrp_c10000,league_mean_adjrp,regressed_gsax,rebound_control_z,rebound_control_score,primary_gsax_score,rebound_control_score_c5000,rebound_control_score_c10000,total_gar_w30_raw,total_gar_w30_c5000,total_gar_w30_c10000,total_gar_w10_c5000,total_gar_w10_c10000,total_gar_w5_c5000,total_gar_w5_c10000
8471734,0.0,,,,1.4336,-0.14765468190429082,0.14765468190429082,1.4336,0.0,0.0,1.0478164045712872,1.00352,1.00352,1.29024,1.29024,1.36192,1.36192
8474593,0.0,,,,-6.1822,-0.14765468190429082,0.14765468190429082,-6.1822,0.0,0.0,-4.283243595428713,-4.32754,-4.32754,-5.56398,-5.56398,-5.8730899999999995,-5.8730899999999995
8474596,0.0,,,,1.6213,-0.14765468190429082,0.14765468190429082,1.6213,0.0,0.0,1.1792064045712871,1.1349099999999999,1.1349099999999999,1.45917,1.45917,1.5402349999999998,1.5402349999999998
8475311,0.0,,,,0.0477,-0.14765468190429082,0.14765468190429082,0.0477,0.0,0.0,0.07768640457128724,0.033389999999999996,0.033389999999999996,0.04293,0.04293,0.045314999999999994,0.045314999999999994
8475660,0.0,,,,-3.3601,-0.14765468190429082,0.14765468190429082,-3.3601,0.0,0.0,-2.3077735954287126,-2.35207,-2.35207,-3.02409,-3.02409,-3.192095,-3.192095
8475683,0.022634,,,,-4.6035,3.727913726945548,-3.727913726945548,-4.6035,0.0,0.0,-4.340824118083665,-3.2224500000000003,-3.2224500000000003,-4.14315,-4.14315,-4.373325,-4.373325
8475717,0.0,,,,-2.9061,-0.14765468190429082,0.14765468190429082,-2.9061,0.0,0.0,-1.9899735954287125,-2.03427,-2.03427,-2.61549,-2.61549,-2.760795,-2.760795
8475809,0.0,,,,-0.2088,-0.14765468190429082,0.14765468190429082,-0.2088,0.0,0.0,-0.10186359542871276,-0.14616,-0.14616,-0.18792,-0.18792,-0.19836,-0.19836
8475831,0.0,,,,-0.3703,-0.14765468190429082,0.14765468190429082,-0.3703,0.0,0.0,-0.21491359542871274,-0.25921,-0.25921,-0.33327,-0.33327,-0.351785,-0.351785
8475852,0.0,,,,-0.4253,-0.14765468190429082,0.14765468190429082,-0.4253,0.0,0.0,-0.2534135954287127,-0.29771,-0.29771,-0.38277,-0.38277,-0.404035,-0.404035
8475883,0.0,,,,-4.0522,-0.14765468190429082,0.14765468190429082,-4.0522,0.0,0.0,-2.7922435954287126,-2.83654,-2.83654,-3.64698,-3.64698,-3.8495899999999996,-3.8495899999999996
8476341,0.0,,,,-0.8641,-0.14765468190429082,0.14765468190429082,-0.8641,0.0,0.0,-0.5605735954287127,-0.6048699999999999,-0.6048699999999999,-0.77769,-0.77769,-0.8208949999999999,-0.8208949999999999
8476412,0.0,,,,-10.384,-0.14765468190429082,0.14765468190429082,-10.384,0.0,0.0,-7.224503595428713,-7.2688,-7.2688,-9.345600000000001,-9.345600000000001,-9.8648,-9.8648
