player_id,evo_rate_raw,ppo_rate_raw,evd_rate_raw,ppd_rate_raw,penalty_component_raw,toi_5v5_minutes,toi_pp_minutes,toi_pk_minutes,toi_total_minutes,evo_rate_regressed,evd_rate_regressed,ppo_rate_regressed,ppd_rate_regressed,penalty_component_regressed,evo_gar_per_60,evd_gar_per_60,ppo_gar_per_60,ppd_gar_per_60,penalty_gar_per_60,total_gar_per_60,rp_evo_rate,rp_evd_rate,rp_ppo_rate,rp_ppd_rate,rp_penalty_rate
8470613,0.3561027449177531,0.031732182883402,0.0,0.0,0.0,497.6666666666667,60.73333333333333,109.08333333333331,667.4833333333333,0.5559962959561564,0.0,0.08515642742671126,0.0,0.0,-0.1989607144668908,0.0,-0.03244632451930314,0.0,0.0,-0.2314070389861939,0.7549570104230472,0.0,0.1176027519460144,0.0,0.0
8470621,0.6341045317022008,0.0,0.0,0.0,0.0,382.98333333333335,46.016666666666666,78.05,507.05,0.7025387105584532,0.0,0.08054063596348436,0.0,0.0,-0.05241829986459401,0.0,-0.037062115982530036,0.0,0.0,-0.08948041584712405,0.7549570104230472,0.0,0.1176027519460144,0.0,0.0
8471214,0.8893534151519011,0.0,0.0,0.0,0.0,539.7666666666667,58.11666666666667,103.71666666666668,701.6,0.824725259125459,0.0,0.07437720161021254,0.0,0.0,0.06976824870241183,0.0,-0.04322555033580186,0.0,0.0,0.026542698366609968,0.7549570104230472,0.0,0.1176027519460144,0.0,0.0
8471215,0.9483169058966616,0.0,0.0,0.0,0.0,318.95,28.48333333333333,58.0,405.4333333333333,0.8302633644877755,0.0,0.0915315231127366,0.0,0.0,0.0753063540647283,0.0,-0.026071228833277796,0.0,0.0,0.0492351252314505,0.7549570104230472,0.0,0.1176027519460144,0.0,0.0
8471675,0.9494556359444912,0.0,0.0,0.0,0.0,423.5833333333333,43.46666666666667,91.41666666666669,558.4666666666667,0.8441599801537609,0.0,0.08197217840103234,0.0,0.0,0.08920296973071373,0.0,-0.03563057354498206,0.0,0.0,0.053572396185731674,0.7549570104230472,0.0,0.1176027519460144,0.0,0.0
8471685,0.6958180103247801,0.0,0.0,0.0,0.0,342.7333333333333,37.95,65.61666666666667,446.3,0.7309056221226602,0.0,0.08525027324828881,0.0,0.0,-0.024051388300387,0.0,-0.03235247869772559,0.0,0.0,-0.05640386699811259,0.7549570104230472,0.0,0.1176027519460144,0.0,0.0
8471724,0.329366600105787,0.3532785697370366,0.0,0.0,0.0,544.15,40.36666666666667,78.28333333333333,662.8,0.5331641437141096,0.0,0.18537843832571704,0.0,0.0,-0.2217928667089376,0.0,0.06777568637970265,0.0,0.0,-0.15401718032923495,0.7549570104230472,0.0,0.1176027519460144,0.0,0.0
8471734,0.0,0.0,0.0,0.0,0.0,178.03333333333333,21.683333333333334,36.11666666666667,235.83333333333331,0.5567255865663295,0.0,0.09664655686564667,0.0,0.0,-0.19823142385671766,0.0,-0.020956195080367723,0.0,0.0,-0.21918761893708538,0.7549570104230472,0.0,0.1176027519460144,0.0,0.0
8471817,0.3821817778802724,0.0,0.0,0.0,0.0,365.1833333333333,43.516666666666666,84.21666666666667,492.9166666666667,0.5976131310863991,0.0,0.08194361998328724,0.0,0.0,-0.15734387933664806,0.0,-0.03565913196272716,0.0,0.0,-0.19300301129937522,0.7549570104230472,0.0,0.1176027519460144,0.0,0.0
8473419,1.4476502598523695,0.5018835661555744,0.0,0.0,0.0,363.23333333333335,54.21666666666667,96.56666666666666,514.0166666666667,1.046430089892921,0.0,0.2527011512352934,0.0,0.0,0.2914730794698739,0.0,0.13509839928927903,0.0,0.0,0.4265714787591529,0.7549570104230472,0.0,0.1176027519460144,0.0,0.0
8473422,0.3536372624610485,0.0,0.0,0.0,0.0,217.11666666666667,21.683333333333334,36.03333333333333,274.8333333333333,0.6334520866147185,0.0,0.09664655686564667,0.0,0.0,-0.12150492380832867,0.0,-0.020956195080367723,0.0,0.0,-0.1424611188886964,0.7549570104230472,0.0,0.1176027519460144,0.0,0.0
8473507,0.1008946205475313,0.0,0.0,0.0,0.0,448.25,51.53333333333333,82.55,582.3333333333334,0.4457732864455097,0.0,0.07760850326397783,0.0,0.0,-0.3091837239775375,0.0,-0.03999424868203656,0.0,0.0,-0.34917797265957407,0.7549570104230472,0.0,0.1176027519460144,0.0,0.0
8473512,0.5727840656731531,0.4565756011767205,0.0,0.0,0.0,371.6833333333333,29.383333333333333,54.46666666666667,455.5333333333333,0.6772789767168582,0.0,0.19458447720606015,0.0,0.0,-0.07767803370618898,0.0,0.07698172526004575,0.0,0.0,-0.0006963084461432262,0.7549570104230472,0.0,0.1176027519460144,0.0,0.0
8473533,0.7606600244129564,0.0,0.0,0.0,0.0,405.3,42.2,69.26666666666667,516.7666666666667,0.7575102320844966,0.0,0.08270235720535472,0.0,0.0,0.002553221661449445,0.0,-0.034900394740659674,0.0,0.0,-0.03234717307921023,0.7549570104230472,0.0,0.1176027519460144,0.0,0.0
8473604,1.0019270038482315,0.0,0.0,0.0,0.0,303.9833333333333,35.96666666666667,63.06666666666666,403.01666666666665,0.8483355155761791,0.0,0.08649381118853719,0.0,0.0,0.09337850515313195,0.0,-0.031108940757477208,0.0,0.0,0.062269564395654745,0.7549570104230472,0.0,0.1176027519460144,0.0,0.0
