our_game_id,our_player_id,our_shot_x,our_shot_y,our_distance,our_angle,our_xg,our_is_goal,our_is_rebound,our_is_slot_shot,our_has_pass,mp_shotID,mp_game_id,mp_xCord,mp_yCord,mp_shotDistance,mp_shotAngle,mp_xGoal,mp_goal,mp_shotRebound,mp_shotRush,mp_lastEventCategory,match_distance,xg_difference,xg_ratio
2025020001,8484144,55.0,-29.0,44.68780594300866,40.46222749209335,0.0192055944353342,False,False,0,False,2,20001,55,-29,44.687805943,-40.4622274921,0.0160305,0,0,0,FAC,0.0,0.003175094435334199,1.198065839202408
2025020001,8482807,35.0,33.0,63.28506932918696,31.42956561483852,0.0109142418950796,False,False,0,False,3,20001,35,33,63.2850693292,31.4295656148,0.0097353,0,0,0,FAC,0.0,0.0011789418950796,1.121099698527996
2025020001,8483506,30.0,-34.0,68.09552114493287,29.953608167801494,0.013831740245223,False,False,0,False,4,20001,30,-34,68.0955211449,-29.9536081678,0.00997734,0,0,0,FAC,0.0,0.0038544002452230008,1.386315415253264
2025020377,8482929,36.0,40.0,66.40030120413611,37.04247477308286,0.0117476023733615,False,False,0,False,31761,20377,36,40,66.4003012041,37.0424747731,0.0101431,0,0,0,FAC,0.0,0.0016045023733615004,1.1581865872722836
2025020377,8482655,35.0,28.0,60.8276253029822,27.407575437818405,0.0232426840811967,False,False,0,False,31762,20377,35,28,60.827625303,27.4075754378,0.0198097,0,0,0,FAC,0.0,0.003432984081196702,1.1732981358221832
2025020001,8483493,66.0,-1.0,23.021728866442675,2.489552921999156,0.1194035336375236,True,False,0,False,15,20001,66,-1,23.0217288664,-2.489552922,0.1296,1,0,0,HIT,0.0,-0.010196466362476397,0.921323562017929
2025020001,8484144,84.0,-27.0,27.459060435491963,79.50852298766841,0.0355672985315322,False,False,0,False,18,20001,84,-27,27.4590604355,-79.5085229877,0.0226852,0,0,0,FAC,0.0,0.012882098531532198,1.5678635644178671
2025020001,8484144,47.0,4.0,42.190046219457976,5.440332031005506,0.0345706120133399,False,False,0,False,19,20001,47,4,42.1900462195,5.44033203101,0.0336558,0,0,0,MISS,0.0,0.0009148120133398996,1.0271814074643866
2025020002,8471675,84.0,-10.0,11.180339887498947,63.43494882292201,0.0640506520867347,False,False,0,False,84,20002,84,-10,11.1803398875,-63.4349488229,0.0603002,0,0,0,FAC,0.0,0.003750452086734704,1.0621963457291137
2025020002,8471675,87.0,-5.0,5.385164807134504,68.19859051364818,0.17087984085083,False,True,0,True,85,20002,87,-5,5.38516480713,-68.1985905136,0.134664,0,1,0,SHOT,0.0,0.03621584085082999,1.2689348367108506
2025020002,8471675,89.0,-6.0,6.0,90.0,0.0412272736430168,False,False,0,False,86,20002,89,-6,6.0827625303,-80.537677792,0.0444982,0,0,0,SHOT,0.0,-0.0032709263569832003,0.9264930636074448
2025020002,8484839,30.0,-33.0,67.60177512462228,29.21924669048461,0.0264909751713275,False,False,0,False,87,20002,30,-33,67.6017751246,-29.2192466905,0.0346409,0,0,0,GIVE,0.0,-0.008149924828672502,0.7647311464577277
2025020002,8476483,63.0,32.0,41.23105625617661,50.906141113770495,0.0153835555538535,False,False,0,False,89,20002,63,32,41.2310562562,50.9061411138,0.00706577,0,0,0,FAC,0.0,0.008317785553853499,2.1771944959789944
2025020002,8474578,62.0,-23.0,35.4682957019364,40.426078740099136,0.078748695552349,False,False,0,False,93,20002,62,-23,35.4682957019,-40.4260787401,0.0420618,0,0,0,MISS,0.0,0.03668689555234899,1.8722141123857987
2025020002,8476483,52.0,8.0,37.8549864614954,12.200468727380784,0.0331731848418712,False,False,0,False,95,20002,52,8,37.8549864615,12.2004687274,0.0337795,0,0,0,FAC,0.0,-0.0006063151581287979,0.9820507953602393
2025020127,8475151,87.0,-12.0,12.16552506059644,80.53767779197439,0.0590049102902412,False,False,0,False,10649,20127,87,-12,12.1655250606,-80.537677792,0.0545848,0,0,0,GIVE,0.0,0.004420110290241197,1.0809769439521844
2025020252,8478414,86.0,-3.0,4.242640687119285,45.0,0.5279972553253174,False,False,0,False,21226,20252,86,-3,4.24264068712,-45.0,0.370494,0,0,0,FAC,0.0,0.1575032553253174,1.425116885362023
2025020252,8481559,74.0,27.0,30.886890422961,60.94539590092286,0.0239379722625017,False,False,0,False,21227,20252,74,27,30.886890423,60.9453959009,0.0435486,0,0,0,MISS,0.0,-0.0196106277374983,0.5496840831278549
2025020252,8478414,74.0,3.0,15.297058540778355,11.309932474020211,0.1258019506931305,True,False,0,False,21229,20252,74,3,15.2970585408,11.309932474,0.142522,1,0,0,MISS,0.0,-0.016720049306869517,0.8826844325306302
2025020252,8481559,52.0,6.0,37.48332962798263,9.211026540816666,0.0457897894084453,False,False,0,False,21232,20252,52,6,37.483329628,9.21102654082,0.0377063,0,0,0,MISS,0.0,0.008083489408445305,1.2143803398489192
2025020252,8482684,64.0,-21.0,32.64965543462902,40.0302592718897,0.0348374061286449,False,False,0,False,21233,20252,64,-21,32.6496554346,-40.0302592719,0.0430084,0,0,0,HIT,0.0,-0.0081709938713551,0.8100140002568079
2025020252,8482684,62.0,20.0,33.60059523282288,36.52885536698517,0.0362647585570812,False,False,0,False,21234,20252,62,20,33.6005952328,36.528855367,0.0281738,0,0,0,FAC,0.0,0.008090958557081203,1.2871802368541412
2025020252,8476822,56.0,13.0,35.4682957019364,21.501434324047903,0.0554203353822231,False,False,0,True,21235,20252,56,13,35.4682957019,21.501434324,0.0668726,0,1,0,MISS,0.0,-0.011452264617776903,0.8287450373130864
2025020002,8481577,75.0,5.0,14.866068747318506,19.65382405805331,0.2417221069335937,False,False,0,False,102,20002,75,5,14.8660687473,19.6538240581,0.264419,0,0,0,BLOCK,0.0,-0.02269689306640632,0.9141631536825784
2025020002,8479638,84.0,9.0,10.295630140987,60.94539590092286,0.0960063263773918,False,False,0,False,105,20002,84,9,10.295630141,60.9453959009,0.0806589,0,0,0,FAC,0.0,0.015347426377391796,1.1902756717162246
2025020002,8479638,87.0,6.0,6.324555320336759,71.56505117707799,0.1356620192527771,False,True,0,True,106,20002,87,6,6.32455532034,71.5650511771,0.118374,0,1,0,SHOT,0.0,0.017288019252777106,1.146045746978028
2025020002,8479638,82.0,1.0,7.071067811865476,8.13010235415598,0.203265368938446,True,False,0,False,107,20002,82,1,7.07106781187,8.13010235416,0.241314,1,0,0,FAC,0.0,-0.03804863106155401,0.8423272953017479
2025020377,8482655,42.0,31.0,56.302753041036986,33.40782458970893,0.0107557447627186,False,False,0,False,31763,20377,42,31,56.302753041,33.4078245897,0.00848424,0,0,0,BLOCK,0.0,0.002271504762718599,1.267732261548306
2025020252,8481559,80.0,0.0,9.0,0.0,0.1592148244380951,False,False,0,False,21242,20252,80,0,9.0,0.0,0.14892,0,0,0,SHOT,0.0,0.010294824438095096,1.0691298981875845
2025020003,8470613,55.0,-31.0,46.01086828130936,42.35745470593528,0.0063229850493371,False,False,0,False,166,20003,55,-31,46.0108682813,-42.3574547059,0.00925576,0,0,0,HIT,0.0,-0.0029327749506629,0.6831405578080136
2025020003,8477492,72.0,-5.0,17.72004514666935,16.389540334034784,0.1333051770925521,False,False,0,False,169,20003,72,-5,17.7200451467,-16.389540334,0.126959,0,0,0,FAC,0.0,0.006346177092552113,1.0499860355906403
2025020003,8477501,44.0,14.0,47.12748667179272,17.281498371816642,0.0336074866354465,False,False,0,False,171,20003,44,14,47.1274866718,17.2814983718,0.0266675,0,0,0,SHOT,0.0,0.0069399866354465,1.2602413662865473
2025020003,8476455,59.0,26.0,39.698866482558415,40.91438322002513,0.0149867124855518,False,False,0,False,174,20003,59,26,39.6988664826,40.91438322,0.0203196,0,0,0,HIT,0.0,-0.005332887514448201,0.7375495819579027
2025020003,8477492,73.0,-5.0,16.76305461424021,17.35402463626132,0.1331417560577392,False,False,0,False,175,20003,73,-5,16.7630546142,-17.3540246363,0.118761,0,0,0,FAC,0.0,0.014380756057739197,1.1210898868967016
2025020003,8477501,66.0,-25.0,33.97057550292606,47.38594403038881,0.0275956485420465,False,False,0,False,176,20003,66,-25,33.9705755029,-47.3859440304,0.0282003,0,0,0,GIVE,0.0,-0.0006046514579535027,0.9785586870368931
2025020003,8476455,84.0,-6.0,7.810249675906654,50.19442890773481,0.0992348045110702,False,False,0,False,177,20003,84,-6,7.81024967591,-50.1944289077,0.0913953,0,0,0,MISS,0.0,0.007839504511070197,1.085775794937707
