playerId,our_xG_total,our_xA_total,name,I_F_goals,I_F_assists,games_played,xG_to_goals_ratio,xA_to_assists_ratio,our_xG_per_game,our_xA_per_game,actual_goals_per_game,actual_assists_per_game
8470613,3.208376073278482,0.0,Brent Burns,2.0,9.0,24,1.604188036639241,0.0,0.1336823363866034,0.0,0.08333333333333333,0.375
8470621,9.209806395228949,0.0,Corey Perry,7.0,6.0,18,1.3156866278898498,0.0,0.5116559108460527,0.0,0.3888888888888889,0.3333333333333333
8471214,9.824112996459,0.0,Alex Ovechkin,11.0,12.0,25,0.8931011814962727,0.0,0.39296451985836,0.0,0.44,0.48
8471215,9.10868786112405,0.0,Evgeni Malkin,6.0,18.0,23,1.518114643520675,0.0,0.3960299070053935,0.0,0.2608695652173913,0.782608695652174
8471675,10.38802026910707,0.0,Sidney Crosby,15.0,10.0,23,0.692534684607138,0.0,0.45165305517856824,0.0,0.6521739130434783,0.43478260869565216
8471685,6.385710040456613,0.0,Anze Kopitar,4.0,8.0,20,1.5964275101141532,0.0,0.3192855020228306,0.0,0.2,0.4
8471724,3.2425841307267516,0.0,Kris Letang,2.0,8.0,23,1.6212920653633758,0.0,0.14098191872725008,0.0,0.08695652173913043,0.34782608695652173
8471817,2.5336153148673466,0.0,Ryan Reaves,2.0,0.0,21,1.2668076574336733,0.0,0.1206483483270165,0.0,0.09523809523809523,0.0
8473419,11.222897103871212,0.0,Brad Marchand,15.0,12.0,23,0.7481931402580808,0.0,0.4879520479944005,0.0,0.6521739130434783,0.5217391304347826
8473422,2.100331347435712,0.0,Nick Foligno,0.0,6.0,15,2.100331347435712,0.0,0.14002208982904746,0.0,0.0,0.4
8473507,0.7775932666845604,0.0,Jeff Petry,0.0,5.0,24,0.7775932666845604,0.0,0.03239971944519002,0.0,0.0,0.20833333333333334
8473512,4.857030962593851,0.0,Claude Giroux,4.0,12.0,24,1.2142577406484627,0.0,0.20237629010807712,0.0,0.16666666666666666,0.5
8473533,7.314074365422128,0.0,Jordan Staal,7.0,2.0,21,1.0448677664888755,0.0,0.3482892554962918,0.0,0.3333333333333333,0.09523809523809523
8473604,7.463967237621544,0.0,Jonathan Toews,3.0,5.0,23,2.4879890792071815,0.0,0.32452031467919756,0.0,0.13043478260869565,0.21739130434782608
8473986,5.810459208674725,0.0,Alex Killorn,1.0,7.0,24,5.810459208674725,0.0,0.24210246702811355,0.0,0.041666666666666664,0.2916666666666667
8473994,3.2497092625126234,0.0,Jamie Benn,2.0,3.0,6,1.6248546312563117,0.0,0.5416182104187706,0.0,0.3333333333333333,0.5
8474013,1.4364159000106138,0.0,Ian Cole,1.0,8.0,25,1.4364159000106138,0.0,0.057456636000424555,0.0,0.04,0.32
8474037,9.324396847747263,0.0,James van Riemsdyk,3.0,1.0,20,3.108132282582421,0.0,0.46621984238736314,0.0,0.15,0.05
8474090,0.1394974403083321,0.0,Brendan Smith,0.0,1.0,2,0.1394974403083321,0.0,0.06974872015416606,0.0,0.0,0.5
8474102,3.830934221856294,0.0,David Perron,3.0,8.0,24,1.276978073952098,0.0,0.15962225924401224,0.0,0.125,0.3333333333333333
8474141,6.5500012161210135,0.0,Patrick Kane,3.0,10.0,16,2.1833337387070046,0.0,0.40937507600756334,0.0,0.1875,0.625
8474149,0.5592877473682161,0.0,Evgenii Dadonov,0.0,0.0,5,0.5592877473682161,0.0,0.11185754947364321,0.0,0.0,0.0
8474150,4.758939754683521,0.0,Mikael Backlund,4.0,10.0,26,1.1897349386708802,0.0,0.18303614441090466,0.0,0.15384615384615385,0.38461538461538464
8474151,0.8881065328605462,0.0,Ryan McDonagh,3.0,3.0,15,0.2960355109535154,0.0,0.05920710219070308,0.0,0.2,0.2
8474189,3.2680872753262507,0.0,Lars Eller,2.0,4.0,24,1.6340436376631253,0.0,0.13617030313859377,0.0,0.08333333333333333,0.16666666666666666
8474563,1.0162328202277402,0.0,Drew Doughty,2.0,6.0,19,0.5081164101138701,0.0,0.053485937906723166,0.0,0.10526315789473684,0.3157894736842105
8474564,8.296113297808912,0.0,Steven Stamkos,6.0,3.0,24,1.3826855496348187,0.0,0.3456713874087047,0.0,0.25,0.125
8474567,0.5194525392726055,0.0,Zach Bogosian,0.0,0.0,9,0.5194525392726055,0.0,0.05771694880806728,0.0,0.0,0.0
8474568,0.6252873828634606,0.0,Luke Schenn,0.0,2.0,16,0.6252873828634606,0.0,0.03908046142896629,0.0,0.0,0.125
8474574,1.9413880351930835,0.0,Tyler Myers,1.0,5.0,25,1.9413880351930835,0.0,0.07765552140772333,0.0,0.04,0.2
8474578,3.8863607943057965,0.0,Erik Karlsson,1.0,14.0,23,3.8863607943057965,0.0,0.16897220844807812,0.0,0.043478260869565216,0.6086956521739131
8474586,10.600685258861628,0.0,Jordan Eberle,8.0,6.0,23,1.3250856573577035,0.0,0.4608993590809403,0.0,0.34782608695652173,0.2608695652173913
8474590,4.789562843739983,0.0,John Carlson,6.0,16.0,24,0.7982604739566638,0.0,0.19956511848916594,0.0,0.25,0.6666666666666666
8474600,2.326292872428892,0.0,Roman Josi,2.0,5.0,12,1.163146436214446,0.0,0.19385773936907433,0.0,0.16666666666666666,0.4166666666666667
8474612,0.7657157122157506,0.0,Travis Hamonic,0.0,1.0,15,0.7657157122157506,0.0,0.05104771414771671,0.0,0.0,0.06666666666666667
8474641,6.092171976342794,0.0,Adam Henrique,2.0,5.0,25,3.046085988171397,0.0,0.24368687905371175,0.0,0.08,0.2
