xg_bin,mean_predicted_xg,actual_goal_rate,goals,shots
0-0.05,0.023285646797098932,0.029948647132438614,694,23173
0.05-0.1,0.07201975864752429,0.09370522494985195,981,10469
0.1-0.15,0.12262925123557067,0.13019280461140925,655,5031
0.15-0.2,0.17264068298170063,0.13364832939588256,396,2963
0.2-0.3,0.2412859685008306,0.13394276629570748,337,2516
0.3-0.5,0.3666637722340376,0.21452513966480447,192,895
0.5+,0.5529811280529674,0.4634146341463415,38,82
